,train_acc1,train_acc5,val_acc1,val_acc5
0,4.41309118270874,17.65236473083496,5.548303127288818,21.08355140686035
1,4.27135705947876,18.927974700927734,3.590078353881836,20.300260543823242
2,4.458188533782959,19.945884704589844,4.438642501831055,21.08355140686035
3,4.187604904174805,19.945884704589844,4.438642501831055,19.77806854248047
4,4.219817161560059,19.778379440307617,4.5039167404174805,20.691905975341797
5,4.277799606323242,19.913671493530273,4.9608354568481445,20.169713973999023
6,4.032985687255859,19.43048667907715,4.242819786071777,19.190601348876953
7,4.329339027404785,19.77193832397461,4.242819786071777,19.321149826049805
8,4.24558687210083,19.984539031982422,4.830287456512451,22.584856033325195
9,4.741657257080078,20.43551254272461,6.135770320892334,21.409921646118164
10,4.928488731384277,20.725421905517578,6.070496082305908,22.062664031982422
11,4.851179122924805,21.195722579956055,4.634464740753174,22.454307556152344
12,5.540523529052734,22.40690803527832,6.919060230255127,24.80417823791504
13,6.320062160491943,24.13348960876465,6.788511753082275,26.82767677307129
14,6.616415500640869,24.74552345275879,8.02872085571289,27.87206268310547
15,7.279990196228027,25.860071182250977,7.963446617126465,27.02349853515625
16,7.563458442687988,27.155006408691406,10.182767868041992,32.441253662109375
17,8.400979995727539,29.641799926757812,10.443864822387695,32.76762390136719
18,9.85053539276123,31.49078941345215,9.725849151611328,28.655353546142578
19,9.728128433227539,32.308982849121094,12.271540641784668,35.83551025390625
20,11.106816291809082,34.69913864135742,14.033943176269531,40.20887756347656
21,11.789718627929688,36.7027473449707,14.94778060913086,42.3629264831543
22,13.722458839416504,39.22819519042969,15.274151802062988,40.73107147216797
23,14.501997947692871,40.75505828857422,18.08094024658203,47.65013122558594
24,15.616544723510742,43.07434844970703,20.039165496826172,47.12793731689453
25,17.169179916381836,44.85247039794922,18.99477767944336,49.7389030456543
26,17.639480590820312,46.46952819824219,21.671018600463867,53.13315963745117
27,18.135549545288086,46.8818473815918,22.062664031982422,52.74151611328125
28,18.41257667541504,48.01572036743164,22.78067970275879,53.72062683105469
29,19.37894630432129,49.581241607666016,22.193212509155273,56.135772705078125
30,21.504961013793945,52.09380340576172,25.84856414794922,58.48564147949219
31,22.561527252197266,53.80750274658203,25.456918716430664,59.530025482177734
32,22.9674015045166,54.477516174316406,26.762401580810547,59.399478912353516
33,23.508569717407227,55.199073791503906,27.676240921020508,60.248043060302734
34,23.225101470947266,55.21840286254883,28.00261116027832,59.59530258178711
35,24.217241287231445,55.553409576416016,28.328981399536133,61.16188049316406
36,24.243011474609375,56.33938980102539,28.394256591796875,61.22715377807617
37,25.138513565063477,56.60353469848633,28.19843292236328,61.553524017333984
38,25.293132781982422,56.44891357421875,30.156658172607422,62.46736526489258
39,25.40265464782715,57.11248779296875,30.091384887695312,62.53263854980469
40,25.76987648010254,57.853370666503906,29.699739456176758,63.3159294128418
41,25.872955322265625,58.02731704711914,30.02610969543457,63.18537902832031
42,26.091999053955078,58.45896530151367,31.070497512817383,64.94778442382812
43,26.639610290527344,58.909934997558594,31.78851318359375,63.83811950683594
44,26.961732864379883,59.998714447021484,32.571800231933594,64.55613708496094
45,27.6704044342041,59.747459411621094,30.483028411865234,65.92689514160156
46,28.282438278198242,60.604305267333984,32.89817428588867,66.12271881103516
47,28.656103134155273,61.13903045654297,33.42036437988281,66.44908905029297
48,29.01688003540039,61.46759796142578,32.506526947021484,67.49347686767578
49,28.971782684326172,62.43396759033203,31.723237991333008,65.60052490234375
50,29.931711196899414,62.659454345703125,34.20365524291992,67.95039367675781
51,29.570932388305664,63.05244445800781,34.79112243652344,67.16710662841797
52,30.195852279663086,63.11687088012695,33.5509147644043,68.99478149414062
53,30.3247013092041,63.89640808105469,35.182769775390625,69.45169830322266
54,30.904523849487305,64.64373779296875,36.61880111694336,69.64752197265625
55,31.7935848236084,64.92720031738281,34.59530258178711,68.99478149414062
56,31.684062957763672,64.95941162109375,36.81462097167969,70.30026245117188
57,32.624664306640625,66.00309753417969,36.22715377807617,70.30026245117188
58,32.49581527709961,66.17060089111328,36.031333923339844,70.62663269042969
59,33.03697967529297,66.85350036621094,37.271541595458984,71.21410369873047
60,34.64759826660156,68.01314544677734,38.446475982666016,73.04177856445312
61,34.95039367675781,68.87643432617188,39.49086380004883,73.43341827392578
62,35.61396789550781,69.03105926513672,40.078330993652344,74.15143585205078
63,35.40781021118164,69.18567657470703,39.94778060913086,73.56397247314453
64,35.897438049316406,69.39183044433594,39.94778060913086,73.82506561279297
65,36.232444763183594,69.80415344238281,40.404701232910156,74.73890686035156
66,36.12936782836914,70.33887481689453,40.14360427856445,73.89034271240234
67,35.78791427612305,69.12769317626953,39.94778060913086,74.67362976074219
68,36.76072692871094,70.3131103515625,40.27415084838867,75.0
69,36.37417984008789,69.89434814453125,40.79634475708008,75.0
70,36.445045471191406,69.67530059814453,41.318538665771484,75.32637023925781
71,36.6705322265625,69.84280395507812,40.99216842651367,74.41253662109375
72,36.71562957763672,70.55147552490234,40.73107147216797,75.5221939086914
73,37.314781188964844,70.8607177734375,40.66579818725586,74.93473052978516
74,36.94111633300781,71.15707397460938,41.383811950683594,75.1958236694336
75,36.954002380371094,70.11983489990234,40.86161804199219,75.0
76,37.514495849609375,70.26156616210938,41.710182189941406,75.32637023925781
77,37.218143463134766,71.02178192138672,41.57963562011719,75.58747100830078
78,37.05064010620117,71.32457733154297,42.23237609863281,75.39164733886719
79,37.70132827758789,71.23438262939453,41.710182189941406,74.73890686035156
80,37.54671096801758,70.98956298828125,41.97127914428711,75.5221939086914
